# RA, Dec
03 52 44.3486,-54 11 21.05
03 42 2.8242,-55 33 4.15
03 31 21.2998,-56 54 47.24
03 20 39.7744,-58 16 30.34
03 09 58.2500,-59 38 13.43
02 59 16.7256,-60 59 56.53
02 48 35.2002,-62 21 39.64
03 47 10.2119,-51 27 24.33
03 36 28.6875,-52 49 7.43
03 25 47.1621,-54 10 50.54
03 15 5.6377,-55 32 33.63
03 04 24.1133,-56 54 16.73
02 53 42.5879,-58 15 59.82
02 43 1.0635,-59 37 42.92
02 32 19.5391,-60 59 26.02
02 21 38.0146,-62 21 9.11
02 10 56.4897,-63 42 52.21
02 00 14.9648,-65 04 35.30
03 41 36.0752,-48 43 27.63
03 30 54.5498,-50 05 10.72
03 20 13.0254,-51 26 53.82
03 09 31.5010,-52 48 36.91
02 58 49.9756,-54 10 20.01
02 48 8.4512,-55 32 3.11
02 37 26.9268,-56 53 46.20
02 26 45.4023,-58 15 29.31
02 16 3.8774,-59 37 12.41
02 05 22.3525,-60 58 55.50
01 54 40.8276,-62 20 38.60
03 36 1.9375,-45 59 30.91
03 25 20.4131,-47 21 14.00
03 14 38.8887,-48 42 57.10
03 03 57.3633,-50 04 40.21
02 53 15.8389,-51 26 23.31
02 42 34.3145,-52 48 6.40
02 31 52.7900,-54 09 49.50
02 21 11.2646,-55 31 32.59
02 10 29.7402,-56 53 15.69
01 59 48.2153,-58 14 58.78
01 49 6.6909,-59 36 41.88
01 38 25.1660,-60 58 24.98
03 30 27.8008,-43 15 34.20
03 19 46.2764,-44 37 17.30
03 09 4.7510,-45 59 0.40
02 58 23.2266,-47 20 43.49
02 47 41.7021,-48 42 26.59
02 37 0.1777,-50 04 9.68
02 26 18.6523,-51 25 52.78
02 15 37.1279,-52 47 35.87
02 04 55.6030,-54 09 18.98
01 54 14.0786,-55 31 2.08
01 43 32.5537,-56 52 45.18
01 32 51.0293,-58 14 28.27
03 24 53.6641,-40 31 37.49
03 14 12.1387,-41 53 20.58
03 03 30.6143,-43 15 3.68
02 52 49.0898,-44 36 46.77
02 42 7.5654,-45 58 29.88
02 31 26.0400,-47 20 12.98
02 20 44.5156,-48 41 56.07
02 10 2.9907,-50 03 39.17
01 59 21.4663,-51 25 22.27
01 48 39.9414,-52 47 5.36
01 37 58.4170,-54 08 48.46
01 27 16.8921,-55 30 31.55
03 19 19.5264,-37 47 40.78
03 08 38.0020,-39 09 23.88
02 57 56.4775,-40 31 6.97
02 47 14.9531,-41 52 50.07
02 36 33.4277,-43 14 33.16
02 25 51.9033,-44 36 16.26
02 15 10.3784,-45 57 59.36
02 04 28.8540,-47 19 42.45
01 53 47.3291,-48 41 25.56
01 43 5.8047,-50 03 8.66
01 32 24.2798,-51 24 51.75
01 21 42.7549,-52 46 34.85
01 11 1.2305,-54 08 17.94
03 13 45.3896,-35 03 44.06
03 03 3.8652,-36 25 27.16
02 52 22.3408,-37 47 10.25
02 41 40.8154,-39 08 53.35
02 30 59.2910,-40 30 36.46
02 20 17.7666,-41 52 19.56
02 09 36.2417,-43 14 2.65
01 58 54.7168,-44 35 45.75
01 48 13.1924,-45 57 28.84
01 37 31.6675,-47 19 11.94
01 26 50.1426,-48 40 55.03
01 16 8.6182,-50 02 38.13
01 05 27.0935,-51 24 21.23
03 08 11.2529,-32 19 47.35
02 57 29.7285,-33 41 30.45
02 46 48.2031,-35 03 13.55
02 36 6.6787,-36 24 56.65
02 25 25.1543,-37 46 39.74
02 14 43.6294,-39 08 22.84
