# RA, Dec
03 52 44.3486,-54 11 21.05
02 04 2.1045,-40 30 5.93
01 53 20.5801,-41 51 49.03
01 42 39.0552,-43 13 32.12
01 31 57.5303,-44 35 15.23
01 21 16.0059,-45 56 58.33
01 10 34.4810,-47 18 41.43
00 59 52.9563,-48 40 24.52
03 02 37.1162,-29 35 50.64
02 51 55.5908,-30 57 33.74
02 41 14.0664,-32 19 16.83
02 30 32.5420,-33 40 59.93
02 19 51.0166,-35 02 43.02
02 09 9.4922,-36 24 26.13
01 58 27.9678,-37 46 9.23
01 47 46.4429,-39 07 52.32
01 37 4.9180,-40 29 35.42
01 26 23.3936,-41 51 18.52
01 15 41.8687,-43 13 1.61
01 05 0.3440,-44 34 44.71
00 54 18.8193,-45 56 27.80
00 43 37.2947,-47 18 10.90
02 57 2.9785,-26 51 53.93
02 46 21.4541,-28 13 37.02
02 35 39.9297,-29 35 20.12
02 24 58.4043,-30 57 3.22
02 14 16.8799,-32 18 46.32
02 03 35.3555,-33 40 29.41
01 52 53.8306,-35 02 12.51
01 42 12.3057,-36 23 55.61
01 31 30.7812,-37 45 38.70
01 20 49.2563,-39 07 21.80
01 10 7.7319,-40 29 4.91
00 59 26.2070,-41 50 48.00
00 48 44.6824,-43 12 31.10
00 38 3.1577,-44 34 14.19
02 51 28.8418,-24 07 57.22
02 40 47.3174,-25 29 40.31
02 30 5.7920,-26 51 23.41
02 19 24.2676,-28 13 6.50
02 08 42.7432,-29 34 49.61
01 58 1.2183,-30 56 32.70
01 47 19.6934,-32 18 15.80
01 36 38.1689,-33 39 58.89
01 25 56.6440,-35 01 42.00
01 15 15.1196,-36 23 25.09
01 04 33.5947,-37 45 8.19
00 53 52.0701,-39 06 51.28
00 43 10.5454,-40 28 34.38
00 32 29.0206,-41 50 17.48
02 03 8.6060,-26 50 52.90
01 52 27.0811,-28 12 35.99
01 41 45.5566,-29 34 19.09
01 31 4.0317,-30 56 2.18
01 20 22.5073,-32 17 45.29
01 09 40.9824,-33 39 28.38
00 58 59.4578,-35 01 11.48
00 48 17.9331,-36 22 54.58
00 37 36.4084,-37 44 37.68
00 26 54.8837,-39 06 20.77
00 16 13.3589,-40 28 3.87
01 14 48.3701,-29 33 48.57
01 04 6.8455,-30 55 31.67
00 53 25.3208,-32 17 14.77
00 42 43.7961,-33 38 57.86
00 32 2.2714,-35 00 40.96
00 21 20.7467,-36 22 24.05
00 10 39.2220,-37 44 7.15
00 26 28.1344,-32 16 44.25
00 15 46.6097,-33 38 27.35
00 05 5.0850,-35 00 10.44
