# RA, Dec
03 41 51.0986,-42 12 29.74
03 44 33.0625,-45 07 52.94
03 47 15.0273,-48 03 16.13
03 49 56.9922,-50 58 39.33
03 52 38.9570,-53 54 2.52
03 55 20.9219,-56 49 25.72
03 19 6.1025,-31 12 20.41
03 21 48.0674,-34 07 43.61
03 24 30.0322,-37 03 6.80
03 27 11.9971,-39 58 30.00
03 29 53.9619,-42 53 53.20
03 32 35.9268,-45 49 16.39
03 35 17.8916,-48 44 39.59
03 37 59.8564,-51 40 2.78
03 40 41.8213,-54 35 25.99
03 43 23.7852,-57 30 49.17
03 01 45.0371,-26 02 57.47
03 04 27.0020,-28 58 20.67
03 07 8.9668,-31 53 43.87
03 09 50.9307,-34 49 7.06
03 12 32.8955,-37 44 30.26
03 15 14.8604,-40 39 53.45
03 17 56.8252,-43 35 16.66
03 20 38.7900,-46 30 39.86
03 23 20.7549,-49 26 3.05
03 26 2.7197,-52 21 26.25
03 28 44.6846,-55 16 49.44
03 31 26.6494,-58 12 12.64
02 49 47.9004,-26 44 20.93
02 52 29.8652,-29 39 44.13
02 55 11.8301,-32 35 7.33
02 57 53.7949,-35 30 30.53
03 00 35.7598,-38 25 53.72
03 03 17.7246,-41 21 16.92
03 05 59.6895,-44 16 40.12
03 08 41.6533,-47 12 3.31
03 11 23.6182,-50 07 26.51
03 14 5.5830,-53 02 49.70
03 16 47.5479,-55 58 12.91
03 19 29.5127,-58 53 36.09
02 37 50.7637,-27 25 44.39
02 40 32.7285,-30 21 7.59
02 43 14.6934,-33 16 30.79
02 45 56.6582,-36 11 53.98
02 48 38.6230,-39 07 17.18
02 51 20.5879,-42 02 40.37
02 54 2.5527,-44 58 3.57
02 56 44.5176,-47 53 26.78
02 59 26.4824,-50 48 49.97
03 02 8.4473,-53 44 13.17
03 04 50.4121,-56 39 36.36
03 07 32.3770,-59 34 59.56
02 25 53.6279,-28 07 7.85
02 28 35.5928,-31 02 31.05
02 31 17.5576,-33 57 54.25
02 33 59.5225,-36 53 17.45
02 36 41.4863,-39 48 40.63
02 39 23.4512,-42 44 3.84
02 42 5.4160,-45 39 27.04
02 44 47.3809,-48 34 50.23
02 47 29.3457,-51 30 13.43
02 50 11.3105,-54 25 36.62
02 52 53.2754,-57 20 59.82
02 55 35.2402,-60 16 23.01
02 13 56.4912,-28 48 31.31
02 16 38.4561,-31 43 54.51
02 19 20.4209,-34 39 17.71
02 22 2.3857,-37 34 40.90
02 24 44.3506,-40 30 4.10
02 27 26.3154,-43 25 27.30
02 30 8.2803,-46 20 50.49
02 32 50.2451,-49 16 13.70
02 35 32.2090,-52 11 36.88
02 38 14.1738,-55 07 0.09
02 40 56.1387,-58 02 23.28
02 43 38.1035,-60 57 46.48
02 01 59.3550,-29 29 54.77
02 04 41.3198,-32 25 17.97
02 07 23.2847,-35 20 41.16
02 10 5.2495,-38 16 4.37
02 12 47.2139,-41 11 27.55
02 15 29.1787,-44 06 50.76
02 18 11.1436,-47 02 13.96
02 20 53.1084,-49 57 37.15
02 23 35.0732,-52 53 0.35
02 26 17.0381,-55 48 23.54
02 28 59.0029,-58 43 46.74
02 31 40.9678,-61 39 9.93
01 50 2.2188,-30 11 18.23
01 52 44.1836,-33 06 41.43
01 55 26.1479,-36 02 4.63
01 58 8.1128,-38 57 27.82
02 00 50.0776,-41 52 51.02
02 03 32.0425,-44 48 14.22
02 06 14.0073,-47 43 37.41
02 08 55.9722,-50 39 0.62
02 11 37.9365,-53 34 23.80
02 14 19.9014,-56 29 47.01
02 17 1.8662,-59 25 10.20
02 19 43.8311,-62 20 33.40
01 38 5.0825,-30 52 41.69
01 40 47.0469,-33 48 4.89
01 43 29.0117,-36 43 28.08
01 46 10.9766,-39 38 51.28
01 48 52.9414,-42 34 14.47
01 51 34.9063,-45 29 37.68
01 54 16.8706,-48 25 0.88
01 56 58.8354,-51 20 24.07
01 59 40.8003,-54 15 47.27
02 02 22.7651,-57 11 10.46
02 05 4.7300,-60 06 33.66
02 07 46.6948,-63 01 56.85
01 26 7.9458,-31 34 5.15
01 28 49.9106,-34 29 28.34
01 31 31.8755,-37 24 51.55
01 34 13.8403,-40 20 14.74
01 36 55.8052,-43 15 37.94
01 39 37.7695,-46 11 1.14
01 42 19.7344,-49 06 24.33
01 45 1.6992,-52 01 47.53
01 47 43.6641,-54 57 10.72
01 50 25.6289,-57 52 33.93
01 53 7.5938,-60 47 57.11
01 55 49.5581,-63 43 20.32
01 14 10.8096,-32 15 28.62
01 16 52.7744,-35 10 51.81
01 19 34.7393,-38 06 15.00
01 22 16.7036,-41 01 38.20
01 24 58.6685,-43 57 1.39
01 27 40.6333,-46 52 24.59
01 30 22.5981,-49 47 47.80
01 33 4.5630,-52 43 10.99
01 35 46.5278,-55 38 34.19
01 38 28.4922,-58 33 57.38
01 41 10.4570,-61 29 20.58
01 02 13.6731,-32 56 52.08
01 04 55.6379,-35 52 15.26
01 07 37.6028,-38 47 38.47
01 10 19.5674,-41 43 1.66
01 13 1.5322,-44 38 24.86
01 15 43.4971,-47 33 48.06
01 18 25.4619,-50 29 11.25
01 21 7.4263,-53 24 34.45
01 23 49.3911,-56 19 57.64
01 26 31.3560,-59 15 20.84
00 50 16.5369,-33 38 15.53
00 52 58.5015,-36 33 38.73
00 55 40.4663,-39 29 1.92
00 58 22.4312,-42 24 25.12
01 01 4.3958,-45 19 48.33
01 03 46.3606,-48 15 11.51
01 06 28.3254,-51 10 34.72
01 09 10.2900,-54 05 57.91
00 38 19.4004,-34 19 38.99
00 41 1.3652,-37 15 2.18
00 43 43.3301,-40 10 25.39
00 46 25.2947,-43 05 48.57
00 49 7.2595,-46 01 11.78
00 51 49.2244,-48 56 34.98
00 26 22.2640,-35 01 2.45
00 29 4.2289,-37 56 25.65
00 31 46.1936,-40 51 48.84
00 34 28.1584,-43 47 12.04
00 37 10.1230,-46 42 35.24
00 14 25.1277,-35 42 25.91
00 17 7.0925,-38 37 49.10
00 19 49.0573,-41 33 12.30
00 02 27.9913,-36 23 49.37
