,healpix_lvl,source_id,source_id_2,ra,dec,wise_ra,wise_dec,tmass_ra,tmass_dec,phot_bp_mean_mag,phot_g_mean_mag,phot_rp_mean_mag,parallax,w1,w1_error,w2,w2_error,w3,w3_error,w4,w4_error,j,j_error,h,h_error,ks,ks_error,g,bp,rp,phot_g_mean_mag_AB,phot_bp_mean_mag_AB,phot_rp_mean_mag_AB,phot_j_mean_mag_AB,phot_h_mean_mag_AB,phot_ks_mean_mag_AB,phot_w1_mean_mag_AB,phot_w2_mean_mag_AB,phot_w3_mean_mag_AB,phot_w4_mean_mag_AB,dist
20401,11003,6194615800420187904,6194615800420187904,199.93083093024603,-22.7171542673138,199.9308733,-22.7169549,199.93101,-22.717213,19.45116,18.792807,18.207157,0.8350124508639967,0.0001440124371175573,0.0,7.655966069112553e-05,0.0,0.0002409905428686593,0.0,0.0018914723628330173,0.0,0.00028189528,0.0,0.0003135449,0.0,0.00068160135,0.0,0.00011037665,6.0191585e-05,0.00018929408,18.792807,19.45116,18.207157,17.77478,17.65925,16.816174,18.503999999999998,19.19,17.945,15.707999999999998,0.8204040059698369
20402,6228,3506534583196289024,3506534583196289024,199.93083307594884,-20.030602098774363,199.9308813,-20.0305724,199.930939,-20.030531,19.826612,18.279839,17.288506,3.0783766761949076,0.0006183010727517132,0.0,0.0004119077848677378,0.0,0.00041266724632293587,0.0,0.0015617085932653739,0.0,0.0012649932,0.0,0.0014477717,0.0,0.0009906732,0.0,0.0001770371,4.2594642e-05,0.00044116142,18.279839,19.826612,17.288506,16.14478,15.998249,16.410173,16.922,17.363,17.361,15.916,2.010037466861336
20403,11003,6194614048073497984,6194614048073497984,199.93089309159203,-22.74918391818998,199.9309758,-22.7491594,199.93093,-22.749201,18.93566,18.40992,17.956688,0.33554330690781925,0.0001164126029410492,0.0,4.349106072324543e-05,0.0,0.00027694912668096804,0.0,0.0025211576308074093,0.0,0.00030345083,0.0,0.0003714495,0.0,0.00026836756,0.0,0.00015704778,9.676892e-05,0.00023841007,18.40992,18.93566,17.956688,17.694778,17.47525,17.828175,18.735,19.804,17.794,15.396,0.8485505495383507
20404,6228,3506540871028477952,3506540871028477952,199.93097131983973,-19.982466024934837,199.9309837,-19.9824641,199.931089,-19.982464,19.306501,18.129995,17.27113,1.9348202311180014,0.0005405053537086701,0.0,0.00030255198038723057,0.0,0.0002212075776464126,0.0,0.002141903990722123,0.0,0.0011201806,0.0,0.0012915165,0.0,0.0009236988,0.0,0.00020323653,6.8769994e-05,0.0004482785,18.129995,19.306501,17.27113,16.27678,16.12225,16.486174,17.067999999999998,17.698,18.038,15.573,2.0572604973986026
20405,6228,3506268089065172992,3506268089065172992,199.93097282479798,-20.953293785093415,199.9309552,-20.9533134,199.931041,-20.953182,18.387043,18.017208,17.672997,0.3840651036283346,0.00010519618738232235,0.0,5.2191526583544925e-05,0.0,0.00022222862543282013,0.0,0.001567472751800439,0.0,0.0003439439,0.0,0.00030276077,0.0,0.00036604182,0.0,0.0002254844,0.00016039194,0.00030960012,18.017208,18.387043,17.672997,17.55878,17.69725,17.491173,18.845,19.605999999999998,18.033,15.911999999999999,1.1209048021611505
20406,6228,3506516136312039168,3506516136312039168,199.9310870119301,-20.213489046629093,199.9310965,-20.2134334,199.931264,-20.213364,18.590387,18.04317,17.553158,1.1495638290931987,0.0001858660202688538,0.0,0.00010974885550989477,0.0,0.00025751349904103117,0.0,0.002647280740017563,0.0,0.00048538667,0.0,0.0005398832,0.0,0.00040806623,0.0,0.00022015648,0.00013299793,0.0003457296,18.04317,18.590387,17.553158,17.18478,17.06925,17.373173,18.227,18.799,17.873,15.343,1.8312126368772979
20407,6228,3506119521852271360,3506119521852271360,199.93109090912515,-21.236601157471718,199.9311502,-21.2365391,199.931249,-21.236563,19.273392,18.42558,17.449291,1.3210484462620025,0.00039627803425543894,0.0,0.00025049554127725576,0.0,0.00031217635108481606,0.0,0.002161722784335473,0.0,0.00083346706,0.0,0.001011813,0.0,0.00079200976,0.0,0.00015479897,7.08995e-05,0.0003804376,18.42558,19.273392,17.449291,16.597778,16.387249,16.653173,17.405,17.903,17.664,15.562999999999999,0.8621999588208681
20408,11003,6194675590659844224,6194675590659844224,199.93124717187445,-22.445277611805853,199.9312555,-22.4452857,199.931313,-22.445229,20.754606,19.442394,18.564327,1.391409501649136,0.00014414513857582102,0.0,8.558546212208245e-05,0.0,0.0002280342072000421,0.0,0.0022677751915672613,0.0,0.0003561955,0.0,0.00035571263,0.0,0.00024770226,0.0,6.0679493e-05,1.8119961e-05,0.00013622882,19.442394,20.754606,18.564327,17.520779,17.522251,17.915174,18.503,19.069,18.005,15.511,0.5980327609518886
20409,11003,6194617453982510976,6194617453982510976,199.93136185842513,-22.63457400747426,199.9313948,-22.6345228,199.931414,-22.634464,20.050667,18.703287,18.03138,0.9090796618547956,0.00026915348039269167,0.0,0.00016383247796286372,0.0,0.00030507034978225156,0.0,0.0016580590751089184,0.0,0.0005873379,0.0,0.0007563095,0.0,0.0007654736,0.0,0.000119862976,3.465237e-05,0.00022256038,18.703287,20.050667,18.03138,16.97778,16.70325,16.690174,17.825,18.364,17.689,15.850999999999999,0.7496153258390444
20410,6228,3506108625519819776,3506108625519819776,199.93136741344375,-21.369750065403608,199.9313858,-21.3697269,199.931428,-21.369766,19.851027,18.56198,17.694498,1.7195452527729216,0.0003808903764981351,0.0,0.00022993230870212267,0.0,0.00021677041048196962,0.0,0.0017522658618857078,0.0,0.00074009545,0.0,0.0009330387,0.0,0.0007876443,0.0,0.00013652373,4.1647538e-05,0.0003035293,18.56198,19.851027,17.694498,16.72678,16.47525,16.659174,17.448,17.996,18.06,15.791,0.7469169137880961
