SCA,SCAx,SCAy,Field X,Field Y
2,-2.56,17.92,-0.06,-0.057
2,2.56,17.92,-0.0757,-0.057
2,7.68,17.92,-0.0913,-0.0569
2,12.8,17.92,-0.1068,-0.0568
2,17.92,17.92,-0.1224,-0.0567
3,-17.92,-17.92,-0.0133,-0.292
3,-12.8,-17.92,-0.0287,-0.292
3,-7.68,-17.92,-0.0441,-0.2919
3,-2.56,-17.92,-0.0595,-0.2919
3,2.56,-17.92,-0.0749,-0.2919
3,7.68,-17.92,-0.0902,-0.2917
3,12.8,-17.92,-0.1057,-0.2917
3,17.92,-17.92,-0.121,-0.2915
3,-17.92,-12.8,-0.0134,-0.2773
3,-12.8,-12.8,-0.0287,-0.2775
3,-7.68,-12.8,-0.0441,-0.2774
3,-2.56,-12.8,-0.0595,-0.2773
3,2.56,-12.8,-0.0749,-0.2773
3,7.68,-12.8,-0.0902,-0.2771
3,12.8,-12.8,-0.1056,-0.277
3,17.92,-12.8,-0.1212,-0.2769
3,-17.92,-7.68,-0.0133,-0.2629
3,-12.8,-7.68,-0.0287,-0.2628
3,-7.68,-7.68,-0.0442,-0.2627
3,-2.56,-7.68,-0.0595,-0.2627
3,2.56,-7.68,-0.075,-0.2627
3,7.68,-7.68,-0.0905,-0.2626
3,12.8,-7.68,-0.1058,-0.2625
3,17.92,-7.68,-0.1212,-0.2623
3,-17.92,-2.56,-0.0133,-0.2481
3,-12.8,-2.56,-0.0288,-0.2481
3,-7.68,-2.56,-0.0442,-0.2482
3,-2.56,-2.56,-0.0598,-0.248
3,2.56,-2.56,-0.0751,-0.248
3,7.68,-2.56,-0.0905,-0.2478
3,12.8,-2.56,-0.1059,-0.2477
3,17.92,-2.56,-0.1213,-0.2477
3,-17.92,2.56,-0.0132,-0.2335
3,-12.8,2.56,-0.0287,-0.2336
3,-7.68,2.56,-0.0442,-0.2335
3,-2.56,2.56,-0.0597,-0.2335
3,2.56,2.56,-0.0752,-0.2332
3,7.68,2.56,-0.0907,-0.2332
3,12.8,2.56,-0.1061,-0.2332
3,17.92,2.56,-0.1216,-0.233
3,-17.92,7.68,-0.0134,-0.2188
3,-12.8,7.68,-0.0289,-0.2188
3,-7.68,7.68,-0.0443,-0.2187
3,-2.56,7.68,-0.0598,-0.2186
3,2.56,7.68,-0.0753,-0.2186
3,7.68,7.68,-0.0908,-0.2185
3,12.8,7.68,-0.1062,-0.2184
