,Activity name,CAR,Region,Lite?,Possible descope,MPA_ThetaX,MPA_ThetaY,Target source,N_FRAME,N_EXP,N_FILT,Time,Filter(s),Notes
43,SCAN_ROGUEPATH,171.2,Outer stray,TRUE,FALSE,-1.54,6.1909,Canopus,55,4,1,14.3,F158,Rogue path scan
44,SCAN_ROGUEPATH,171.2,Outer stray,TRUE,FALSE,-1.469,5.8422,Canopus,55,4,1,14.3,F158,Rogue path scan
45,SCAN_ROGUEPATH,171.2,Outer stray,TRUE,FALSE,0.0,6.9335,Canopus,55,4,1,14.3,F158,Rogue path scan
46,SCAN_ROGUEPATH,171.2,Outer stray,TRUE,FALSE,0.0,6.3394,Canopus,55,4,1,14.3,F158,Rogue path scan
47,SCAN_ROGUEPATH,171.2,Outer stray,TRUE,FALSE,0.0,6.0327,Canopus,55,4,1,14.3,F158,Rogue path scan
48,SCAN_ROGUEPATH,171.2,Outer stray,TRUE,FALSE,2.0,6.1492,Canopus,55,4,1,14.3,F158,Rogue path scan
49,SCAN_ROGUEPATH,171.2,Outer stray,TRUE,FALSE,2.567,5.9027,Canopus,55,4,1,14.3,F158,Rogue path scan
50,SCAN_ROGUEPATH,171.2,Outer stray,TRUE,FALSE,1.1041,6.2326,Canopus,55,4,1,14.3,F158,Rogue path scan
51,SCAN_ROGUEPATH,171.2,Outer stray,TRUE,FALSE,1.1784,6.7592,Canopus,55,4,1,14.3,F158,Rogue path scan
52,SCAN_ROGUEPATH,171.2,Outer stray,TRUE,FALSE,2.1641,6.5565,Canopus,55,4,1,14.3,F158,Rogue path scan
53,SCAN_ROGUEPATH,171.2,Outer stray,TRUE,FALSE,2.7211,6.2505,Canopus,55,4,1,14.3,F158,Rogue path scan
54,SCAN_ROGUEPATH,171.2,Outer stray,TRUE,FALSE,1.0562,5.9322,Canopus,55,4,1,14.3,F158,Rogue path scan
55,SCAN_ROGUEPATH,171.2,Outer stray,TRUE,FALSE,1.8705,5.7158,Canopus,55,4,1,14.3,F158,Rogue path scan
56,SCAN_ROGUEPATH,171.2,Outer stray,TRUE,FALSE,2.3948,5.4927,Canopus,55,4,1,14.3,F158,Rogue path scan
57,SCAN_ROGUEPATH,171.2,Outer stray,TRUE,FALSE,1.6659,6.6978,Canopus,55,4,1,14.3,F158,Rogue path scan
58,SCAN_ROGUEPATH,171.2,Outer stray,TRUE,FALSE,1.54,6.1909,Canopus,55,4,1,14.3,F158,Rogue path scan
59,SCAN_ROGUEPATH,171.2,Outer stray,TRUE,FALSE,1.469,5.8422,Canopus,55,4,1,14.3,F158,Rogue path scan
60,SCAN_DRAGON1,171.2,Outer stray,TRUE,FALSE,-0.1188,-0.0312,Canopus,55,4,1,14.3,F158,Rogue path scan
61,SCAN_DRAGON1,171.2,Outer stray,TRUE,FALSE,-0.0938,-0.0312,Canopus,55,4,1,14.3,F158,Rogue path scan
62,SCAN_DRAGON1,171.2,Outer stray,TRUE,FALSE,-0.0688,-0.0312,Canopus,55,4,1,14.3,F158,Central light shield scan
63,SCAN_DRAGON1,171.2,Outer stray,TRUE,FALSE,-0.0438,-0.0312,Canopus,55,4,1,14.3,F158,Central light shield scan
