,SCA,xmid,ymid,ramid,decmid,xmin,ymin,xmax,ymax,straylight_total,mainoffender_total
0,1,255,255,206.84280571515336,49.6598954476495,0,0,511,511,0.002120595,594
1,1,255,766,206.8638584563636,49.652839129203166,0,511,511,1022,0.0020869253,594
2,1,255,1277,206.88490510002924,49.645778992405624,0,1022,511,1533,0.0020872403,594
3,1,255,1788,206.9059456431217,49.63871504032594,0,1533,511,2044,0.0021018714,594
4,1,255,2299,206.92698008262053,49.63164727603495,0,2044,511,2555,0.00212341,594
5,1,255,2810,206.9480084155139,49.624575702605505,0,2555,511,3066,0.002193768,594
6,1,255,3321,206.96903063879807,49.61750032311224,0,3066,511,3577,0.0022359726,594
7,1,255,3832,206.99004674947773,49.61042114063167,0,3577,511,4088,0.0021865615,594
8,1,766,255,206.8540364053721,49.67374841795328,511,0,1022,511,0.0021514408,594
9,1,766,766,206.87509351885487,49.66669006428567,511,511,1022,1022,0.0021246402,594
10,1,766,1277,206.89614452875549,49.659627890990485,511,1022,1022,1533,0.0022264605,594
11,1,766,1788,206.9171894320465,49.652561901138945,511,1533,1022,2044,0.0021273291,594
12,1,766,2299,206.9382282257088,49.64549209780419,511,2044,1022,2555,0.0022147014,594
13,1,766,2810,206.95926090673157,49.638418484061184,511,2555,1022,3066,0.0020811157,594
14,1,766,3321,206.98028747211234,49.631341062986785,511,3066,1022,3577,0.0021099586,594
15,1,766,3832,207.00130791885698,49.62425983765972,511,3577,1022,4088,0.0020657985,594
16,1,1277,255,206.8652734991148,49.687600306778265,1022,0,1533,511,0.002130085,594
17,1,1277,766,206.88633498481437,49.680539916987286,1022,511,1533,1022,0.0021205193,594
18,1,1277,1277,206.90739036088837,49.67347570629317,1022,1022,1533,1533,0.0020851793,594
19,1,1277,1788,206.92843962431044,49.66640767776932,1022,1533,1533,2044,0.0020864275,594
20,1,1277,2299,206.94948277206265,49.65933583449111,1022,2044,1533,2555,0.0021995679,594
21,1,1277,2810,206.97051980113542,49.6522601795357,1022,2555,1533,3066,0.0021529184,594
22,1,1277,3321,206.99155070852746,49.645180715982164,1022,3066,1533,3577,0.0021120699,594
23,1,1277,3832,207.01257549124583,49.638097446911395,1022,3577,1533,4088,0.0021429195,594
24,1,1788,255,206.87651700099454,49.70145111090585,1533,0,2044,511,0.0021549829,594
25,1,1788,766,206.89758285885202,49.6943886840891,1533,511,2044,1022,0.0021317643,594
26,1,1788,1277,206.9186426010345,49.68732243509443,1533,1022,2044,1533,0.002102109,594
27,1,1788,1788,206.9396962245168,49.68025236699753,1533,1533,2044,2044,0.0020540226,594
28,1,1788,2299,206.96074372628223,49.673178482875926,1533,2044,2044,2555,0.0020701052,594
29,1,1788,2810,206.9817851033223,49.666100785808965,1533,2555,2044,3066,0.002112542,594
30,1,1788,3321,207.00282035263697,49.659019278877985,1533,3066,2044,3577,0.0021258371,594
31,1,1788,3832,207.0238494712346,49.65193396516606,1533,3577,2044,4088,0.002249122,594
32,1,2299,255,206.8877669156277,49.715300827116515,2044,0,2555,511,0.002134753,594
33,1,2299,766,206.90883714558095,49.70823636237127,2044,511,2555,1022,0.0020970562,594
34,1,2299,1277,206.9299012538038,49.70116807417421,2044,1022,2555,1533,0.0021352433,594
35,1,2299,1788,206.95095923727231,49.69409596560318,2044,1533,2555,2044,0.0020686742,594
36,1,2299,2299,206.9720110929709,49.68702003973793,2044,2044,2555,2555,0.0021934342,594
37,1,2299,2810,206.99305681789235,49.67994029966006,2044,2555,2555,3066,0.0021800296,594
38,1,2299,3321,207.01409640903785,49.67285674845303,2044,3066,2555,3577,0.002104458,594
39,1,2299,3832,207.03512986341693,49.66576938920218,2044,3577,2555,4088,0.0020958576,594
40,1,2810,255,206.89902324763398,49.729149452189986,2555,0,3066,511,0.0021094168,594
41,1,2810,766,206.92009784961758,49.72208294861328,2555,511,3066,1022,0.0020813541,594
42,1,2810,1277,206.94116632380943,49.715012620311626,2555,1022,3066,1533,0.002191987,594
43,1,2810,1788,206.9622286671868,49.70793847036514,2555,1533,3066,2044,0.0021446827,594
44,1,2810,2299,206.9832848767353,49.70086050185572,2555,2044,3066,2555,0.0021476613,594
45,1,2810,2810,207.00433494944895,49.69377871786721,2555,2555,3066,3066,0.0021580125,594
46,1,2810,3321,207.0253788823301,49.68669312148529,2555,3066,3066,3577,0.0022627898,594
47,1,2810,3832,207.04641667238957,49.6796037157975,2555,3577,3066,4088,0.0021770734,594
48,1,3321,255,206.9102860016364,49.74299698290508,3066,0,3577,511,0.002104207,594
49,1,3321,766,206.93136497558163,49.735928439593614,3066,511,3577,1022,0.0021024253,594
50,1,3321,1277,206.95243781566785,49.72885607028493,3066,1022,3577,1533,0.0021846157,594
51,1,3321,1788,206.9735045188735,49.72177987806135,3066,1533,3577,2044,0.002195447,594
52,1,3321,2299,206.99456508218537,49.71469986600697,3066,2044,3577,2555,0.0021735276,594
53,1,3321,2810,207.0156195025987,49.70761603720784,3066,2555,3577,3066,0.0020674407,594
54,1,3321,3321,207.03666777711712,49.700528394751885,3066,3066,3577,3577,0.0021140883,594
55,1,3321,3832,207.05770990275263,49.69343694172881,3066,3577,3577,4088,0.0020823244,594
56,1,3832,255,206.92155518226116,49.75684341603984,3577,0,4088,511,0.0021776324,594
57,1,3832,766,206.94263852809615,49.74977283209003,3577,511,4088,1022,0.002227612,594
58,1,3832,1277,206.9637157339988,49.74269842087158,3577,1022,4088,1533,0.0021948372,594
59,1,3832,1788,206.98478679694884,49.73562018546896,3577,1533,4088,2044,0.0021166657,594
60,1,3832,2299,207.00585171393422,49.728538128968516,3577,2044,4088,2555,0.0021411616,594
61,1,3832,2810,207.0269104819515,49.72145225445854,3577,2555,4088,3066,0.0021226997,594
62,1,3832,3321,207.04796309800548,49.7143625650291,3577,3066,4088,3577,0.0020923563,594
63,1,3832,3832,207.0690095591094,49.70726906377217,3577,3577,4088,4088,0.0022369195,594
0,2,255,255,206.64394115293467,49.726584200556445,0,0,511,511,0.0021119532,594
1,2,255,766,206.66462303621236,49.71975681514851,0,511,511,1022,468.17587,1
2,2,255,1277,206.68529910986595,49.71292574621048,0,1022,511,1533,0.0021063813,594
3,2,255,1788,206.70596937096028,49.70609099660226,0,1533,511,2044,0.0022156262,594
4,2,255,2299,206.7266338165678,49.69925256918539,0,2044,511,2555,289.35934,1
5,2,255,2810,206.74729244376877,49.69241046682326,0,2555,511,3066,0.0021283645,594
6,2,255,3321,206.76794524965106,49.68556469238098,0,3066,511,3577,0.0022372347,594
7,2,255,3832,206.78859223131028,49.67871524872544,0,3577,511,4088,0.0020892785,594
8,2,766,255,206.6550281135299,49.74036187250025,511,0,1022,511,0.0020899212,594
9,2,766,766,206.67571431442497,49.7335325140457,511,511,1022,1022,0.0021860392,594
