,Name,RA,DEC
0,OUT_pos_1_a,87.1753954718008,-49.40427459866887
1,OUT_pos_1_b,95.29745662777562,-58.844082154190744
2,OUT_pos_1_c,105.14137378160136,-54.08683947590191
3,OUT_pos_1_d,103.19407787370535,-49.347867756141426
4,OUT_pos_1_e,93.091648873647,-46.822133423993265
5,OUT_pos_1_f,87.35262185433903,-56.78380105854972
6,OUT_pos_2_a,85.82104956981024,-51.11012597686682
7,OUT_pos_2_b,85.7839468291187,-55.0962518109178
8,OUT_pos_3_a,94.11215226076318,-51.52805811787255
9,OUT_pos_3_b,94.5981154467336,-54.11108970114935
