,Target,ArchiveTarget,description,category,RA,DEC,WFIPA_off,V3PA_off,V3PA_ori,CAR,Region,Target_Source,RA_Source,Dec_Source,MPA_ThetaX,MPA_ThetaY,N_FRAME,N_EXP,N_FILT,Filter,MA Table,Resultant
22,IN_pos_4_a_023,IN_pos_4_a_023,Stray light test,Calibration,96.04397497113908,-52.628188748535216,92.31118689789812,152.31118689789812,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-0.0688,-0.0312,55,4,1,F158,IM_193_11,11
23,IN_pos_4_b_024,IN_pos_4_b_024,Stray light test,Calibration,96.03480378051869,-52.76567658307744,92.31872364138539,152.3187236413854,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,0.0688,-0.0312,55,4,1,F158,IM_193_11,11
24,IN_pos_5_a_025,IN_pos_5_a_025,Stray light test,Calibration,96.00303999430577,-52.55792091300406,92.34374322808648,152.34374322808648,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-0.138,-0.0035,55,4,1,F158,IM_193_11,11
25,IN_pos_5_b_026,IN_pos_5_b_026,Stray light test,Calibration,95.98650488076223,-52.83374203793115,92.35747319752704,152.35747319752704,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,0.138,-0.0048,55,4,1,F158,IM_193_11,11
26,SCAN_RCHANNEL_027,SCAN_RCHANNEL_027,Stray light test,Calibration,88.71597612365193,-48.072425790661114,97.85381586134639,157.8538158613464,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-4.2,5.02,55,4,1,F158,IM_193_11,11
27,SCAN_RCHANNEL_028,SCAN_RCHANNEL_028,Stray light test,Calibration,88.5078443579604,-48.22204991060156,98.01320572054192,158.01320572054192,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-4.033,5.1369,55,4,1,F158,IM_193_11,11
28,SCAN_RCHANNEL_029,SCAN_RCHANNEL_029,Stray light test,Calibration,88.2997888952725,-48.37034989877669,98.17314877345893,158.17314877345893,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-3.867,5.2531,55,4,1,F158,IM_193_11,11
29,SCAN_RCHANNEL_030,SCAN_RCHANNEL_030,Stray light test,Calibration,88.08928917508322,-48.51910500401902,98.33558406005696,158.33558406005696,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-3.7,5.37,55,4,1,F158,IM_193_11,11
30,SCAN_RCHANNEL_031,SCAN_RCHANNEL_031,Stray light test,Calibration,87.87758103930553,-48.66741294478752,98.49956472169197,158.49956472169197,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-3.533,5.4869,55,4,1,F158,IM_193_11,11
31,SCAN_RCHANNEL_032,SCAN_RCHANNEL_032,Stray light test,Calibration,87.66976504644066,-48.81173002643354,98.66111956945201,158.661119569452,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-3.37,5.601,55,4,1,F158,IM_193_11,11
32,SCAN_RCHANNEL_033,SCAN_RCHANNEL_033,Stray light test,Calibration,87.45176977401067,-48.961775356748575,98.83120521405709,158.8312052140571,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-3.2,5.72,55,4,1,F158,IM_193_11,11
33,SCAN_ROGUEPATH_034,SCAN_ROGUEPATH_034,Stray light test,Calibration,86.50750794362145,-50.07376936188187,99.60904800049767,159.60904800049767,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-2.0,6.1492,55,4,1,F158,IM_193_11,11
34,SCAN_ROGUEPATH_035,SCAN_ROGUEPATH_035,Stray light test,Calibration,87.02594538591829,-49.55640049490662,99.18461159958542,159.18461159958542,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-2.567,5.9027,55,4,1,F158,IM_193_11,11
35,SCAN_ROGUEPATH_036,SCAN_ROGUEPATH_036,Stray light test,Calibration,86.14321442598431,-50.936491774709864,99.95105971608308,159.95105971608308,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-1.1041,6.2326,55,4,1,F158,IM_193_11,11
36,SCAN_ROGUEPATH_037,SCAN_ROGUEPATH_037,Stray light test,Calibration,85.34108739751187,-50.77375971064336,100.54623608170999,160.54623608171,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-1.1784,6.7592,55,4,1,F158,IM_193_11,11
37,SCAN_ROGUEPATH_038,SCAN_ROGUEPATH_038,Stray light test,Calibration,85.92412907479462,-49.84684059510991,100.03006299075867,160.03006299075867,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-2.1641,6.5565,55,4,1,F158,IM_193_11,11
