ra dec mag_bp_ab mag_g_ab mag_rp_ab mag_j_ab mag_h_ab mag_ks_ab mag_w1_ab mag_w2_ab mag_w3_ab mag_w4_ab
89.88237 44.947433 1.8329754 2.005 1.7092754 0.8622208 0.38574988 -0.062173866 -2.956 -3.367 -3.169 -4.726
89.93016 37.212765 2.5352345 2.705 2.3906434 1.4902209 1.01675 0.55682623 -1.048 -2.083 -2.405 -3.826
93.71957 22.506824 3.69741 3.405 2.1044452 -1.6207792 -2.88925 -3.564174 -2.126 -5.3980002 -6.413 -8.311
95.67495 -17.955917 1.8183885 2.105 1.9671291 1.5722209 1.2937499 0.93482625 -0.819 -1.0139999 -2.309 -3.8349998
95.73996 22.513851 3.263676 3.005 1.7600822 -1.8057792 -2.9822502 -3.702174 -0.80999994 -2.915 -6.761 -8.698
95.98788 -52.695717 -0.66106546 -0.495 -0.9007048 -2.0627792 -2.6542501 -3.1441739 -1.028 -2.162 -6.205 -7.954
99.427925 16.399414 1.8402983 2.005 1.7022884 0.83522075 0.46174985 0.07682619 -3.026 -3.356 -3.125 -4.737
100.98304 25.131155 3.380871 3.205 2.3736074 -0.00777923 -1.1422501 -1.7151738 -4.905 -5.341 -5.182 -6.569
101.28854 -16.713142 -1.5273147 -1.295        
102.4839 -50.6144 3.2101462 3.005 2.2737541 0.17922075 -0.9152501 -1.5041739 -4.62 -4.364 -4.886 -6.376
104.65644 -28.97209 1.3470416 1.605 1.4699757 1.0832208 0.7837499 0.381826 -2.378 -2.729 -2.946 -4.473
105.4298 -27.934841 3.9159012 3.605 2.5800424 -0.35577923 -1.6002501 -2.261174 -4.263 -4.98 -5.625 -7.387
105.75614 -23.833302 2.9070246 3.105 2.9329705 2.4402208 1.90075 1.5018262 0.5749999 -0.49600005 -2.048 -3.6939998
107.09786 -26.393208 1.9402139 1.905 1.3802578 -0.12277918 -0.8372501 -1.3871739 -4.863 -4.8320003 -4.809 -6.426
108.38429 -44.64053 4.7271457 4.505        
109.28568 -37.09749 3.1021843 2.805 1.8380084 -0.9317792 -2.1932502 -2.8331738 -0.811 -2.0670002 -6.103 -7.912
111.02377 -29.30312 2.3352344 2.605 2.3307538 1.5452207 1.11775 0.6018261    
111.7878 8.289409 2.7710571 3.005 2.7882023 2.1672208 1.7347499 1.2608262 0.37499988 -1.614 -2.628 -4.819
112.30782 -43.30189 3.6102574 3.305 2.3734608 -0.29477924 -1.5352501 -2.1241739    
113.65002 31.888636 1.500145 1.705 1.3766694 0.43622082 -0.08225005 -0.61117387 -3.6039999 -3.704 -3.576 -5.117
114.82724 5.2275076 0.43890074 0.505        
116.31377 -37.968597 4.039038 3.705 2.6947927 -0.19877921 -1.4492501 -2.1971738 -1.89 -3.374 -7.979 -9.912
116.33068 28.02631 1.3656958 1.305        
120.896126 -40.00319 2.0397356 2.305 2.1992173 1.8962208 1.5807499 1.1278261 -0.9 -1.714 -2.561 -4.482
121.88626 -24.304438 2.8766584 2.905 2.4837687 1.2772208 0.70975 0.18182622 -2.9259999 -3.4 -3.213 -4.764
122.38315 -47.336613 1.6167347 1.905 1.7376286 1.2582208 0.87174994 0.2608262 -3.421 -3.332 -4.386 -6.413
125.6286 -59.509537 2.126864 2.005 1.051206 -1.6807792 -2.9372501 -3.6221738 1.2340001 -1.603 -6.672 -8.575
131.17583 -54.70857 1.8528303 2.005 1.7147096 0.88322073 0.38774985 -0.12117388 -3.2749999 -3.299 -3.2549999 -4.868
133.8487 5.9455276 3.3118167 3.205 2.5105004 0.52122074 -0.6162501 -1.1431738 -4.498 -4.222 -4.24 -5.799
136.99907 -43.432625 2.6368048 2.305 1.3377496 -1.4327792 -2.85225 -3.550174 0.34099996 -1.73 -6.529 -8.3949995
138.30101 -69.717476 1.6008867 1.805 1.4929724 0.5992208 0.12574989 -0.35317388    
139.27261 -59.27526 2.176394 2.305 1.9086112 0.77322084 0.19874984 -0.3151739 -3.623 -3.595 -3.56 -5.11
140.2644 34.392525 3.512491 3.205 2.1753845 -0.7737792 -1.9522501 -2.4961739    
140.52846 -55.010696 2.3379283 2.605 2.4402163 1.9682208 1.5547498 1.1888262 -0.63 -1.412 -2.066 -3.563
141.89688 -8.658684 2.329669 2.105 1.2627388 -1.1497792 -2.3642502 -2.9671738 -0.60099995 -2.827 -6.175 -7.9379997
142.80563 -57.034393 3.5289104 3.305 2.33982 -0.4247792 -1.7242501 -2.3091738 -3.099 -1.59 -5.605 -7.285
146.46292 23.774279 3.121092 3.105 2.4612205 0.6172208 -0.26725012 -0.6171738 -4.113 -3.956 -3.935 -5.548
146.77557 -65.07202 2.9114583 3.005 2.5480573 1.2392207 0.7387498 0.10882614 -2.621 -2.994 -3.26 -4.85
152.09358 11.9671955 1.2440408 1.505 1.315115 0.77122074 0.28374988 -0.20017387    
154.27086 -61.33232 3.7598057 3.505 2.60115 0.012220811 -1.1842501 -1.7851739 -4.265 -3.928 -5.228 -6.749
154.99234 19.84186 2.2565742 2.105        
155.58252 41.49943 3.4483051 3.205 2.1163833 -1.0017792 -2.28025 -2.8491738 -3.848 -2.566 -5.858 -7.612
160.73927 -64.39448 2.584356 2.805 2.6901603 2.3612208 1.9097499 1.5748261 0.827 -0.07299997 -1.5640001 -3.0149999
161.69217 -49.420124 2.8688416 2.805 2.1464703 0.26022083 -0.6802501 -1.2241739 -4.194 -3.888 -4.554 -6.074
162.40596 -16.194132 3.3876057 3.205 2.4238102 0.18622084 -0.9602501 -1.5921738    
165.45996 56.382343 2.2598464 2.405 2.1385171 1.3752209 0.98474985 0.44482622 -1.543 -2.494 -2.713 -4.482
165.93265 61.751118 2.0365825 1.905 1.0927569 -1.2337792 -2.12525 -2.669174 -3.823 -1.683 -5.682 -7.358
167.41608 44.498554 3.2513483 3.105 2.336749 0.13622077 -0.9982501 -1.4111738    
168.52672 20.524035 2.5081928 2.705 2.352862 1.3442208 0.8167499 0.30382618    
177.26616 14.572337 2.0768545 2.205        
178.45726 53.694733 2.333129 2.505 2.2416224 1.4872209 1.1127499 0.58882606 -2.164 -2.521 -2.703 -4.206
182.08977 -50.72241 2.451807 2.705 2.4951892 1.894221 1.43475 0.82782614 -2.228 -3.053 -4.151 -6.286
182.53136 -22.619793 3.3256536 3.105 2.2875814 -0.053779233 -1.3242501 -1.8981738 -4.539 -4.052 -5.173 -6.627
183.78648 -58.7489 2.6424124 2.905 2.7831733 2.4342208 2.06575 1.6918262 -0.008000015 -0.037999883 -1.5050001 -3.0029998
183.95195 -17.541985 2.4580731 2.705 2.5107157 1.9542209 1.6007499 1.1048261    
184.39432 -67.96067 4.448305 4.205 2.8433738 -1.0567793 -2.56925 -3.340174    
186.64975 -63.099056 0.60749334 0.905 0.78679615 0.4482208 -0.04625016 -0.51117384 -3.384 -3.643 -3.445 -4.961
187.4666 -16.515095 2.8464196 3.005 2.7553375 2.0402207 1.62575 1.1628262    
187.79137 -57.112568 1.9774101 1.705 0.5164955 -2.8877792 -4.35925 -5.0981736    
188.5968 -23.396624 2.8264546 2.705 2.0798526 0.28922075 -0.6252501 -1.1211739 -4.146 -3.88 -4.456 -5.967
189.29619 -69.13554 2.5474849 2.805 2.6702344 2.2842207 1.7917498 1.4098262 0.56799996 -0.273 -1.6660001 -3.12
190.38002 -48.959885 2.1031373 2.305 2.0079815 1.157221 0.80574995 0.25982603    
190.41667 -1.4495223 2.7598042 2.805        
191.9305 -59.688732 1.0889852 1.305 1.1971473 0.8882207 0.5397499 0.13782619    
193.5068 55.959843 1.6634356 1.905 1.6240256 0.81922084 0.32374984 -0.21517386    
193.90201 3.3975985 3.768757 3.505        
194.00768 38.318245 2.7656863 3.005 2.7869084 2.1622207 1.75675 1.3048261    
195.54483 10.959102 3.038688 3.005 2.31904 0.3542208 -0.64125013 -1.1761739    
199.73022 -23.171412 3.1745107 3.105 2.463291 0.62522084 -0.30925006 -0.8161738 -4.016 -3.785 -4.175 -5.705
200.15027 -36.712082 2.68029 2.905        
200.98091 54.925415 2.1570077 2.305 1.8188156 0.42622083 -0.22225016 -0.23717381    
201.29836 -11.161245 0.8198804 1.105 0.9658352 0.56722075 0.2407499 -0.14617385 -3.405 -3.249 -3.293 -4.812
204.97197 -53.466362 2.1489768 2.405 2.280068 1.9222208 1.5537499 1.200826 0.3720001 -0.51900005 -2.0180001 -3.491
206.8856 49.3133 1.7304603 2.005 1.8314179 1.3342208 1.0337499 0.42482623 -1.768 -2.134 -2.632 -4.122
207.36147 -34.45063 4.5535398 4.305 2.810104 -1.4717792 -2.87525 -3.633174 0.8720001 -1.753 -6.61 -8.57
208.67131 18.398588 2.7630613 2.805        
